GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	direction	logFC_ave	power	TF
FN3K	-1.1047283733180375	9.163060972310042	-9.73189067668903	8.988503118742486e-12	1.7714901486542442e-6	16.26021464319438	T1h	-1	-0.8564543680780655	0.999999999997787	0
MYOM2	-1.5330161797342177	5.318639418776092	-9.335792130106485	2.7230260859983898e-11	1.7950000678116067e-6	15.260884511643942	T1h	-1	-0.7921300053547609	0.9999999997013874	0
ATP5C1	-0.9077618458747114	10.110065046227687	-9.306616802047861	2.9570143927448596e-11	1.7950000678116067e-6	15.186329269787949	T1h	-1	-0.918414276550767	0.999999999999787	0
TTC37	-1.2494065064266273	8.543689925659137	-9.090462112013851	5.4646751673751493e-11	1.7950000678116067e-6	14.629953459445526	T1h	-1	-0.8854386120148855	0.9999999999999998	0
ARHGEF10	-1.1749986166490247	6.8773602054816	-8.919432511202222	8.920863139214414e-11	2.498151463549199e-6	14.184764659454052	T1h	-1	-0.8253892600092971	0.9999999972971597	0
HTR2C	-1.0993607344829641	9.50609085399953	-8.834086171612892	1.1408010377272023e-10	2.498151463549199e-6	13.960987370799161	T1h	-1	-0.9464528487545802	1	0
SLC9A7	-1.172318498049325	8.27635711911541	-8.644812120460815	1.9744909258030318e-10	3.8755308899761895e-6	13.460910708085963	T1h	-1	-0.9825127549305176	0.9999999992402852	0
INTS4	-0.8459089738319943	9.363670556049481	-8.613482997476547	2.1630796913873317e-10	3.8755308899761895e-6	13.377636320470378	T1h	-1	-0.7267985776229429	0.9999999999789381	0
PTPN21	-1.0313532230170575	7.552165066510359	-8.504890988686268	2.9702231567610403e-10	3.902556404180619e-6	13.087906368246037	T1h	-1	-1.0313532230170575	0.9999806986828235	0
SAFB	-1.1549735794168132	8.3140995090742	-8.418634850809728	3.8248393708896415e-10	4.5904532593556584e-6	12.856578606997248	T1h	-1	-0.8774673447558885	0.9999999999989141	1
TECPR1	-1.0802807789443127	6.985069971994656	-8.406845682963654	3.959616478711929e-10	4.5904532593556584e-6	12.824880392107916	T1h	-1	-0.842292853107401	0.9999995057692866	0
PDPR	-0.6878892663564837	6.218759123540256	-8.29470061904408	5.509004359229699e-10	5.42868307567213e-6	12.52238267395609	T1h	-1	-0.8787171632897155	0.9999999683118521	0
