Group	PrePost	ProcessNum	ngml	date
CON	before	982	0.06669	2015/9/15
CON	sacrifice	982	0.09243	2015/10/15
CON	before	984	0.02835	2015/9/15
CON	sacrifice	984	0.05298	2015/10/15
CON	before	986	0.01917	2015/9/15
CON	sacrifice	986	0.03668	2015/10/15
CON	before	992	0.02393	2015/11/4
CON	sacrifice	992	0.02753	2015/11/8
CON	before	993	0.04479	2015/11/4
CON	sacrifice	993	0.04337	2015/11/8
CON	before	995	0.02943	2015/11/4
CON	sacrifice	995	0.0304	2015/11/8
T14d	before	797	0.03117	2014/10/30
T14d	sacrifice	797	13.1832	2014/11/20
T14d	before	798	0.04581	2014/10/30
T14d	sacrifice	798	5.73673	2014/11/20
T14d	before	799	0.04775	2014/10/30
T14d	sacrifice	799	7.55794	2014/11/20
T14d	before	803	0.1345	2014/8/1
T14d	sacrifice	803	12.4165	2014/11/30
T14d	before	804	0.05145	2014/8/1
T14d	sacrifice	804	9.33214	2014/11/30
T14d	before	805	0.08637	2014/8/1
T14d	sacrifice	805	7.62151	2014/11/30
T1h	before	741	0.04582	2014/10/15
T1h	sacrifice	741	17.04323867	2014/10/23
T1h	before	743	0.06058	2014/10/7
T1h	sacrifice	743	53.21046065	2014/10/11
T1h	before	745	0.03378	2014/10/15
T1h	sacrifice	745	25.21846637	2014/10/23
T1h	before	746	0.04765	2014/7/28
T1h	sacrifice	746	28.19229961	2014/10/11
T1h	before	749	0.01654	2014/9/16
T1h	sacrifice	749	68.75902221	2014/9/20
T1h	before	751	0.01732	2014/9/16
T1h	sacrifice	751	88.55054942	2014/9/20
T3d	before	244	0.03137	2012/5/26
T3d	sacrifice	244	26.41384155	2012/5/29
T3d	before	245	0.24766	2012/5/26
T3d	sacrifice	245	22.19549674	2012/5/29
T3d	before	248	0.68282	2012/5/26
T3d	sacrifice	248	14.37373046	2012/5/29
T3d	before	302	0.04305	2012/7/18
T3d	sacrifice	302	16.77116958	2012/8/30
T3d	before	413	0.10546	2013/2/21
T3d	sacrifice	413	18.62108071	2013/3/7
T3d	before	414	0.12149	2013/2/21
T3d	sacrifice	414	21.61129056	2013/3/7
T3h	before	755	0.02997	2014/7/28
T3h	sacrifice	755	38.38180374	2014/10/11
T3h	before	764	0.03537	2014/10/22
T3h	sacrifice	764	118.9736736	2014/11/1
T3h	before	765	0.02825	2014/10/22
T3h	sacrifice	765	73.01145292	2014/11/1
T3h	before	767	0.02142	2014/10/22
T3h	sacrifice	767	65.90873939	2014/11/3
T3h	before	774	0.04644	2014/10/22
T3h	sacrifice	774	44.97691082	2014/11/2
T3h	before	777	0.1426	2014/11/16
T3h	sacrifice	777	46.96208249	2014/11/30
T7d	before	788	0.20444	2014/11/15
T7d	sacrifice	788	15.21031163	2014/12/3
T7d	before	789	0.06381	2014/11/16
T7d	sacrifice	789	16.52444277	2014/12/3
T7d	before	790	0.04756	2014/11/15
T7d	sacrifice	790	15.93834477	2014/12/2
T7d	before	791	0.04757	2014/11/15
T7d	sacrifice	791	14.20428834	2014/12/2
T7d	before	792	0.04347	2014/11/15
T7d	sacrifice	792	18.14360831	2014/12/3
T7d	before	793	0.14307	2014/11/15
T7d	sacrifice	793	8.626897009	2014/12/2
T8h	before	205	0.11586	2012/2/23
T8h	sacrifice	205	18.88658	2012/3/15
T8h	before	206	0.14102	2012/2/23
T8h	sacrifice	206	48.87355	2012/3/8
T8h	before	207	0.08838	2012/2/23
T8h	sacrifice	207	15.53947	2012/3/16
T8h	before	208	0.18845	2012/3/8
T8h	sacrifice	208	57.33735	2012/3/16
T8h	before	209	0.41728	2012/3/8
T8h	sacrifice	209	82.26424885	2012/3/16
T8h	before	305	0.21015	2012/7/18
T8h	sacrifice	305	25.7721	2012/8/30
