Probe	Group	Individual	Slide	sum_slide	Area	n_particle	Density	percent_area_slide
ALDH1A2	T14d	797	1	13324.6798	234637.1581	207	8.82E-04	0.056788447
ALDH1A2	T14d	797	1	13324.6798	180078.1733	230	0.001277223	0.073993864
ALDH1A2	T14d	797	3	13094.5867	202667.7128	145	7.15E-04	0.064611114
ALDH1A2	T14d	797	3	13094.5867	187225.3092	262	0.001399383	0.069940259
ALDH1A2	T14d	798	12	3608.9554	94820.7853	46	4.85E-04	0.038060805
ALDH1A2	T14d	798	12	3608.9554	82050.366	101	0.001230951	0.043984635
ALDH1A2	T14d	798	14	16381.4127	246051.4885	189	7.68E-04	0.066577174
ALDH1A2	T14d	798	14	16381.4127	258037.5548	313	0.001213002	0.063484607
ALDH1A2	T14d	805	12	7512.956	197917.3242	91	4.60E-04	0.037960073
ALDH1A2	T14d	805	14	11104.431	276767.0759	136	4.91E-04	0.040121936
ALDH1A2	T14d	805	15	11432.102	161765.1486	107	6.61E-04	0.070670983
ALDH1A2	T14d	805	17	12717.117	161335.2545	142	8.80E-04	0.078824167
ALDH1A2	T7d	788	1	10094.94	165953.4127	138	8.32E-04	0.060829963
ALDH1A2	T7d	788	1	10094.94	120807.8283	160	0.001324417	0.083561969
ALDH1A2	T7d	788	4	16290.8334	233048.3555	211	9.05E-04	0.069903233
ALDH1A2	T7d	788	4	16290.8334	92230.6439	119	0.001290244	0.176631461
ALDH1A2	T7d	789	11	14576.2069	169564.6983	192	0.001132311	0.085962509
ALDH1A2	T7d	789	11	14576.2069	85918.2483	235	0.002735158	0.169652049
ALDH1A2	T7d	789	8	13632.2459	198218.1918	158	7.97E-04	0.068773939
ALDH1A2	T7d	789	8	13632.2459	171304.9541	114	6.65E-04	0.079578819
ALDH1A2	T7d	790	11	4540.1016	50800.0323	62	0.001220472	0.089372022
ALDH1A2	T7d	790	11	4540.1016	42914.2707	65	0.001514648	0.105794681
ALDH1A2	T7d	790	14	13922.9202	139333.47	176	0.001263157	0.099925167
ALDH1A2	T7d	790	14	13922.9202	105783.0861	164	0.001550342	0.131617641
AR	CON	982	10	5182.592	102685.2851	181	0.001762667	0.050470639
AR	CON	982	10	5182.592	91974.6297	42	4.57E-04	0.056348061
AR	CON	982	7	5740.6587	149965.4863	174	0.001160267	0.038279866
AR	CON	984	1	4116.6144	128361.849	126	9.82E-04	0.032070389
AR	CON	984	3	6596.3695	139019.7871	190	0.001366712	0.047449141
AR	CON	993	6	4639.7096	117856.8205	162	0.001374549	0.039367341
AR	CON	993	9	303.4887	28227.6769	16	5.67E-04	0.010751459
AR	T14d	797	1	10663.7625	234637.1581	207	8.82E-04	0.045447885
AR	T14d	797	1	10663.7625	180078.1733	230	0.001277223	0.059217407
AR	T14d	797	3	17112.7568	202667.7128	145	7.15E-04	0.084437509
AR	T14d	797	3	17112.7568	187225.3092	262	0.001399383	0.091401942
AR	T14d	798	12	4185.9338	94820.7853	46	4.85E-04	0.044145741
